timezone,videoId,channelId,channelTitle,title,commentCount,viewCount,likeCount,dislikeCount,date,cln_title
2021-05-01T01:32:35Z,zgzMM3B9YeY,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【】おはすば【】,171,124795,9009,22,2021-05-01,【 】 お はす ば 【 】
2021-04-30T14:42:55Z,pcpVmdvLGlk,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#生スバル】うま娘が気になりすぎてガチ乗馬しにいったしゅばああああああレポ！！！！/Horseback riding experience report【】,99,167124,11585,39,2021-04-30,【 # 生 スバル 】 うま 娘 が 気 に なり すぎ て ガチ 乗馬 し に いっ た し ゅばああああああ レポ !!!!/ Horseback   riding   experience   report 【 】
2021-04-29T13:30:52Z,9Z81DQCERtU,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#16】1章終盤！第三勢力登場？！なんだおめえら！！！！/gran blue fantasy【ホロライブ/大空スバル】,47,136291,9311,41,2021-04-29,【 # 16 】 1 章 終盤 ! 第 三 勢力 登場 ?! な ん だ お め えら !!!!/ gran   blue   fantasy 【 ホロライブ / 大空 スバル 】
2021-04-27T13:46:31Z,STmEvp2WTxc,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#生スバル】バイオハザード7DLC END OF ZOE：RESIDENT EVIL 7 biohazard DLC【ホロライブ/大空スバル】,145,215079,13775,62,2021-04-27,【 # 生 スバル 】 バイオ ハザード 7 DLC   END   OF   ZOE : RESIDENT   EVIL   7   biohazard   DLC 【 ホロライブ / 大空 スバル 】
2021-04-26T12:45:59Z,WkOCD9o5EAM,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【】うおおおおおおおおおおおおお/my voice is.........【】,325,399171,26614,80,2021-04-26,【 】 う おお おお おお おお おお おお お / my   voice   is .........【】
2021-04-20T18:56:16Z,33Rdd1PHRkU,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#２】鬼畜ゲー？！最難関Gルート耐久！：UNDERTALE【ホロライブ/大空スバル】,139,53268,2973,10,2021-04-20,【 # 2 】 鬼畜 ゲー ?! 最 難関 G ルート 耐久 !: UNDERTALE 【 ホロライブ / 大空 スバル 】
2021-04-20T13:25:32Z,Cq2U6XE8Y68,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#最終回】鬼畜ゲー？！最難関Gルート耐久！本当の本当の最後！：UNDERTALE【ホロライブ/大空スバル】,130,43117,2921,16,2021-04-20,【 # 最終 回 】 鬼畜 ゲー ?! 最 難関 G ルート 耐久 ! 本当 の 本当 の 最後 !: UNDERTALE 【 ホロライブ / 大空 スバル 】
2021-04-18T12:52:43Z,bir5v6ey1P4,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#生スバル】ロックマン２すばる！まじで最後！！！！！！：Megaman【ホロライブ/大空スバル】,189,152140,8803,47,2021-04-18,【 # 生 スバル 】 ロック マン 2 すばる ! まじ で 最後 !!!!!!: Megaman 【 ホロライブ / 大空 スバル 】
2021-04-18T11:22:23Z,cHDeTO2Bj0Q,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#生スバル】ロックマン２すばる！クリアまで！！：Megaman【ホロライブ/大空スバル】,68,334629,13316,187,2021-04-18,【 # 生 スバル 】 ロック マン 2 すばる ! クリア まで !!: Megaman 【 ホロライブ / 大空 スバル 】
2021-04-17T13:13:47Z,GfYmvsRLAcE,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#生スバル】リベンジ！！ロックマン２すばる！：Megaman【ホロライブ/大空スバル】,208,557129,18623,287,2021-04-17,【 # 生 スバル 】 リベンジ !! ロック マン 2 すばる !: Megaman 【 ホロライブ / 大空 スバル 】
2021-04-17T03:44:02Z,g5LH-XPQ_oQ,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#生スバル】おはようスバル：FREE TALK【ホロライブ/大空スバル】,77,188038,12282,28,2021-04-17,【 # 生 スバル 】 おはよう スバル : FREE   TALK 【 ホロライブ / 大空 スバル 】
2021-04-16T13:31:28Z,Vzrq6ehJ_Oc,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#生スバル​】バイオハザード7DLC Not a Hero：RESIDENT EVIL 7 biohazard【※ネタバレ有】,86,180673,10828,113,2021-04-16,【 # 生 スバル ​】 バイオ ハザード 7 DLC   Not   a   Hero : RESIDENT   EVIL   7   biohazard 【 ※ ネタ バレ 有 】
2021-04-13T11:04:59Z,kKwSqs5rZjI,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#生スバル】初見実況！ロックマン２すばる！：Megaman【ホロライブ/大空スバル】,325,212434,10133,130,2021-04-13,【 # 生 スバル 】 初 見 実況 ! ロック マン 2 すばる !: Megaman 【 ホロライブ / 大空 スバル 】
2021-04-12T19:51:40Z,lHtlf0dygPM,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#１】鬼畜ゲー？！最難関Gルート耐久！：UNDERTALE【ホロライブ/大空スバル】,186,87171,3815,30,2021-04-12,【 # 1 】 鬼畜 ゲー ?! 最 難関 G ルート 耐久 !: UNDERTALE 【 ホロライブ / 大空 スバル 】
2021-04-10T09:14:08Z,dNM_iJCGRDQ,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【♯15】リーシャと共に！！おひさし本編：GRANBLUE FANTASY【ホロライブ/大空スバル】,105,230562,10930,81,2021-04-10,【 ♯ 15 】 リーシャ と共に !! お ひさし 本編 : GRANBLUE   FANTASY 【 ホロライブ / 大空 スバル 】
